RouteNumber,Stop,latitude,longitude,StopNumber
7,Lansdowne Park Dublin City South,53.33309856,-6.236076936,488
7,St Mary's Rd South Dublin City South,53.33494204,-6.237352295,489
7,Haddington Road Beggar's Bush,53.33657388,-6.238906844,490
7,Mount Street Bridge Dublin City South,53.33781408,-6.241333491,491
7,Mount Street Lower Pembroke West,53.33858469,-6.243614499,492
7,Holles Street Merrion Square,53.33985342,-6.247376795,493
7,Clare Street Dublin City South,53.34143556,-6.251682282,494
7,Pearse Station Pearse Station,53.34359133,-6.249746779,495
7,Shaw Street Trinity College,53.34484903,-6.253389959,400
7,O'Connell St Upper Dublin,53.35134358,-6.261115937,281
7,Parnell Square West Rotunda,53.35257455,-6.264175495,4
7,Mountjoy Square Ballybough,53.35703977,-6.25849532,4962
9,Greenhills College Greenhills,53.30696693,-6.334003872,4392
9,St James's Road Greenhills,53.30719121,-6.337191381,2458
9,St Mel's Avenue Greenhills,53.30834647,-6.340117813,2446
9,St Killian's Avenue Greenhills,53.31035954,-6.339454451,2459
9,St Brendan's Cres Greenhills,53.31218901,-6.336576961,2460
9,St Joseph's Road Greenhills,53.31274537,-6.332653139,2461
9,Greenhills CU Walkinstown,53.31382316,-6.330029718,2462
9,St Peter's Road Walkinstown,53.31530447,-6.331187574,2463
9,Cromwellsfort Road Walkinstown,53.3172032,-6.330708293,2431
9,Beechfield Avenue Walkinstown,53.31701343,-6.325507453,2432
9,Cherry Grove Walkinstown,53.3165862,-6.320691147,2433
9,Kimmage Road West Crumlin,53.31602664,-6.316060145,2434
9,Westbrook Crumlin,53.31431445,-6.311294768,2435
9,Lorcan O'Toole Park Kimmage,53.31370591,-6.308947544,2436
9,Brookfield Kimmage,53.3126888,-6.302519212,2437
9,Kimmage Road Lower Kimmage,53.31248956,-6.299255408,2438
9,Ravensdale Park Terenure,53.31354588,-6.297697532,2439
9,Aideen Avenue Kimmage,53.31640089,-6.294326905,2440
9,Kimmage Grove Kimmage,53.31906114,-6.291173796,2441
9,Mount Argus Church Kimmage,53.32045244,-6.286029468,2442
9,Brookfield Kimmage,53.32189217,-6.283644947,2443
9,Mount Argus Road Harolds Cross,53.32429774,-6.279675295,2444
9,St Clare's School Harolds Cross,53.32717098,-6.277607992,1344
9,Le Vere Terrace Harolds Cross,53.32879609,-6.276236335,1345
9,Clanbrassil St Upr Leonard's Corner,53.331183,-6.275344288,1347
9,Spencer St South Leonard's Corner,53.33224959,-6.273889837,1348
9,Carlisle Street Kelly's Corner,53.33238573,-6.270881272,1349
9,Harrington Street Kelly's Corner,53.33256114,-6.267480766,1350
9,Camden Street Lower Dublin City South,53.33444545,-6.265407302,1352
9,Pleasants Street Dublin City South,53.33600954,-6.265418924,1353
9,Whitefriars Street Dublin City South,53.34009624,-6.265838719,1355
